2020-04-26 15:04:464 INFO  HomePage :34 - Clicking On About Us Link[[ChromeDriver: chrome on WINDOWS (22f8134062ec694c56a6a9c08bf06db6)] -> link text: About us]
2020-04-26 15:04:522 INFO  AboutUsPage :22 - Getting text from : [[ChromeDriver: chrome on WINDOWS (22f8134062ec694c56a6a9c08bf06db6)] -> xpath: //h1[contains(text(),'About us')]]
2020-04-26 15:04:509 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-26 15:04:523 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-26 15:04:329 INFO  HomePage :40 - Clicking on close button : [[ChromeDriver: chrome on WINDOWS (a482545ecc1b4c95cff4e69f8442675c)] -> xpath: //button[@class="modal__close js-modal-close"]]
2020-04-26 15:04:108 INFO  HomePage :34 - Clicking On About Us Link[[ChromeDriver: chrome on WINDOWS (a482545ecc1b4c95cff4e69f8442675c)] -> link text: About us]
2020-04-26 15:04:672 INFO  AboutUsPage :36 - Clicking on Jobs And Careers link : Proxy element for: DefaultElementLocator 'By.xpath: //h3[contains(text(),'Jobs & careers')]'
2020-04-26 15:04:727 INFO  AboutUsPage :41 - Getting text from : [[ChromeDriver: chrome on WINDOWS (a482545ecc1b4c95cff4e69f8442675c)] -> xpath: //div[@class='large-banner__title h1']]
2020-04-26 15:04:621 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-26 15:04:28 INFO  HomePage :40 - Clicking on close button : [[ChromeDriver: chrome on WINDOWS (e3ae16f7869ad7047ce0e91f83453b08)] -> xpath: //button[@class="modal__close js-modal-close"]]
2020-04-26 15:04:502 INFO  HomePage :34 - Clicking On About Us Link[[ChromeDriver: chrome on WINDOWS (e3ae16f7869ad7047ce0e91f83453b08)] -> link text: About us]
2020-04-26 15:04:580 INFO  AboutUsPage :28 - Getting text from : [[ChromeDriver: chrome on WINDOWS (e3ae16f7869ad7047ce0e91f83453b08)] -> xpath: //h1[contains(text(),'About us')]]
2020-04-26 15:04:370 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-26 15:04:354 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-26 15:04:434 INFO  HomePage :40 - Clicking on close button : [[ChromeDriver: chrome on WINDOWS (07dc494acee6ca6e64b2ccf86277a28c)] -> xpath: //button[@class="modal__close js-modal-close"]]
2020-04-26 15:04:97 INFO  HomePage :34 - Clicking On About Us Link[[ChromeDriver: chrome on WINDOWS (07dc494acee6ca6e64b2ccf86277a28c)] -> link text: About us]
2020-04-26 15:04:143 INFO  AboutUsPage :28 - Getting text from : [[ChromeDriver: chrome on WINDOWS (07dc494acee6ca6e64b2ccf86277a28c)] -> xpath: //h1[contains(text(),'About us')]]
2020-04-26 15:04:933 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-26 15:04:406 INFO  HomePage :40 - Clicking on close button : [[ChromeDriver: chrome on WINDOWS (2a46ed31131788ca028cc518aefc681b)] -> xpath: //button[@class="modal__close js-modal-close"]]
2020-04-26 15:04:319 INFO  HomePage :34 - Clicking On About Us Link[[ChromeDriver: chrome on WINDOWS (2a46ed31131788ca028cc518aefc681b)] -> link text: About us]
2020-04-26 15:04:768 INFO  AboutUsPage :36 - Clicking on Jobs And Careers link : Proxy element for: DefaultElementLocator 'By.xpath: //h3[contains(text(),'Jobs & careers')]'
2020-04-26 15:04:311 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-26 15:04:344 INFO  HomePage :40 - Clicking on close button : [[ChromeDriver: chrome on WINDOWS (cbb172d74e4c8efd3b2d92f500bfcbc9)] -> xpath: //button[@class="modal__close js-modal-close"]]
2020-04-26 15:04:813 INFO  HomePage :34 - Clicking On About Us Link[[ChromeDriver: chrome on WINDOWS (cbb172d74e4c8efd3b2d92f500bfcbc9)] -> link text: About us]
2020-04-26 15:04:889 INFO  AboutUsPage :28 - Getting text from : [[ChromeDriver: chrome on WINDOWS (cbb172d74e4c8efd3b2d92f500bfcbc9)] -> xpath: //h1[contains(text(),'About us')]]
2020-04-26 15:04:720 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-26 15:04:404 INFO  HomePage :40 - Clicking on close button : [[ChromeDriver: chrome on WINDOWS (22a400243a3173d077c58b7066ccfb81)] -> xpath: //button[@class="modal__close js-modal-close"]]
2020-04-26 15:04:84 INFO  HomePage :34 - Clicking On About Us Link[[ChromeDriver: chrome on WINDOWS (22a400243a3173d077c58b7066ccfb81)] -> link text: About us]
2020-04-26 15:04:626 INFO  AboutUsPage :36 - Clicking on Jobs And Careers link : Proxy element for: DefaultElementLocator 'By.xpath: //h3[contains(text(),'Jobs & careers')]'
2020-04-26 15:04:664 INFO  AboutUsPage :41 - Getting text from : [[ChromeDriver: chrome on WINDOWS (22a400243a3173d077c58b7066ccfb81)] -> xpath: //div[@class='large-banner__title h1']]
2020-04-26 15:04:720 INFO  BrowserSelector :26 - Launching Chrome Browser
2020-04-26 15:04:243 INFO  HomePage :40 - Clicking on close button : [[ChromeDriver: chrome on WINDOWS (a58121a9c44bed0ea973c7e7b3688472)] -> xpath: //button[@class="modal__close js-modal-close"]]
2020-04-26 15:04:652 INFO  HomePage :34 - Clicking On About Us Link[[ChromeDriver: chrome on WINDOWS (a58121a9c44bed0ea973c7e7b3688472)] -> link text: About us]
